ar,country_ar,en,country_en
 سيالكوت, باكستان, Sialkot,Pakistan
 سيام ريب, كمبوديا, Siem Reap,Cambodia
 سيان, اليمن, Sayyan,Yemen
 سيبانغ, ماليزيا,Sepang,Malaysia
 سيبيو, رومانيا, Sibiu,Romania
 سيتاغايا، طوكيو, اليابان, Setagaya,Japan
 سيتسو، أوساكا, اليابان, Settsu,Japan
 سيتو، آيتشي, اليابان, Seto,Japan
 سيتوي, ميانمار, Sittwe,Myanmar
 سيتيا, اليونان, Sitia,Greece
 سيجد, المجر,Szeged,Hungary
 سيحان, تركيا, Seyhan,Turkey
 سيحوت, اليمن, Sayhut,Yemen
 سيد بور, باكستان, Syed Pur,Pakistan
 سيد دخيل, العراق, Sayyid Dakhil,Iraq
 سيد سادق, العراق, Said Sadiq,Iraq
 سيدكان, العراق, Sidekan,Iraq
 سيدني, أستراليا,Sydney,Australia
 سيدو شريف, باكستان, Saidu Sharif,Pakistan
 سيدونا, الولايات المتحدة,Sedona,United States of America
 سيدى عبد الرحمن, مصر, Sidi Abdel Rahman,Egypt
 سيدى عبد الرحمن, مصر, Sidi Abdelrahman,Egypt
 سيدي إبراهيم, الجزائر, Sidi Brahim,Algeria
 سيدي إفني, المغرب, Sidi Ifni,Morocco
 سيدي اسماعيل, المغرب, Sidi Smaïl,Morocco
 سيدي الزوين, المغرب, Sidi Zouine,Morocco
 سيدي الشحمي, الجزائر, Sidi Chami,Algeria
 سيدي الظريف, تونس, Sidi Dhrif,Tunisia
 سيدي المختار, المغرب, Sidi El Mokhtar,Morocco
 سيدي امحمد, الجزائر, Sidi M'Hamed,Algeria
 سيدي بلعباس, الجزائر, Sidi Bel Abbes,Algeria
 سيدي بن عدة, الجزائر, Sidi Ben Adda,Algeria
 سيدي بنور, المغرب, Sidi Bennour,Morocco
 سيدي بو عثمان, المغرب, Sidi Bou Othmane,Morocco
 سيدي بوبكر, المغرب, Sidi Boubker,Morocco
 سيدي بوجنان, الجزائر, Sidi Boudjenane,Algeria
 سيدي بوزيد, المغرب, Sidi Bouzid,Morocco
 سيدي بوزيد, تونس, Sidi Bouzid,Tunisia
 سيدي بوقنادل, المغرب, Sidi Bouknadel,Morocco
 سيدي بيبي, المغرب, Sidi Bibi,Morocco
 سيدي حسين, تونس, Sidi Hassine,Tunisia
 سيدي خالد, الجزائر, Sidi Khaled,Algeria
 سيدي راشد, الجزائر, Sidi Rached,Algeria
 سيدي رحال, المغرب, Sidi Rahal Chatai,Morocco
 سيدي سعد, تونس, Sayyidi Sa'ad,Tunisia
 سيدي سليمان, المغرب, Sidi Slimane,Morocco
 سيدي طيبي, المغرب, Sidi Taibi,Morocco
 سيدي عامر, الجزائر, Sidi Ameur,Algeria
 سيدي عبدالعزيز, الجزائر, Sidi Abdelaziz,Algeria
 سيدي عقبة, الجزائر, Sidi Okba,Algeria
 سيدي عكاشة, الجزائر, Sidi Akacha,Algeria
 سيدي علال البحراوي, المغرب, Sidi Allal El Bahraoui,Morocco
 سيدي علال التازي, المغرب, Sidi Allal Tazi,Morocco
 سيدي علي, الجزائر, Sidi Ali,Algeria
 سيدي علي بن حمدوش, المغرب, Sidi Ali Ben Hamdouche,Morocco
 سيدي عمار, الجزائر, Sidi Amar,Algeria
 سيدي عمر بوحجلة, تونس, Sidi Amor Bou Hajla,Tunisia
 سيدي عمران, الجزائر, Sidi Amrane,Algeria
 سيدي عيسى, الجزائر, Sidi Aissa,Algeria
 سيدي عيش, الجزائر, Sidi Aich,Algeria
 سيدي غيلاس, الجزائر, Sidi Ghiles,Algeria
 سيدي قاسم, المغرب, Sidi Kacem,Morocco
 سيدي لحسن, الجزائر, Sidi Lahcene,Algeria
 سيدي لخضر, الجزائر, Sidi Lakhdar,Algeria
 سيدي لعجال, الجزائر, Sidi Ladjel,Algeria
 سيدي محمد بن علي, الجزائر, Sidi M'hamed Ben Ali,Algeria
 سيدي مخلوف, تونس, Sayyidi Makhlūf,Tunisia
 سيدي مروان, الجزائر, Sidi Merouane,Algeria
 سيدي مزغيش, الجزائر, Sidi Mezghiche,Algeria
 سيدي موسى, الجزائر, Sidi Moussa,Algeria
 سيدي نعمان, الجزائر, Sidi Naamane,Algeria
 سيدي يحيى, المغرب, Sidi Yahya Ou Saad,Morocco
 سيدي يحيى الغرب, المغرب, Sidi Yahya du Gharb,Morocco
 سيدي يحيى زعير, المغرب, Sidi Yahya Zaer,Morocco
 سيراليون, سيراليون, Sierra Leone,Sierra Leone
 سيرتوخيمبوس, هولندا,'s-Hertogenbosch,Netherlands
 سيرجان, ايران, Sirjan,Iran 
 سيروان, العراق, Sirwan,Iraq
 سيروف, روسيا, Serov,Russian Federation
 سيريبرينيي برودي, روسيا, Serebryanye Prudy,Russian Federation
 سيريكوندا, غامبيا, Serrekunda,Gambia
 سيستان وبلوشستان, ايران, Sistan and Baluchestan,Iran 
 سيسفين, لاتفيا,Cesvaine,Latvia
 سيسيميوت, جرينلاند, Sisimiut,Greenland
 سيسيناتي, الولايات المتحدة, Cincinnati,United States of America
 سيشيل, سيشل, Seychelles,Seychelles
 سيغو, مالي,Ségou,Mali
 سيغيشوارا, رومانيا, Sighișoara,Romania
 سيفر, فرنسا,Sèvres,France
 سيفييه, توجو,Tsévié,Togo
 سيق, الجزائر, Sig,Algeria
 سيقوس, الجزائر, Sigus,Algeria
 سيكاسو, مالي,Sikasso,Mali
 سيكوندرأباد, الهند,Secunderabad,India
 سيلا, تشاد, Sila Region,Chad
 سيلة الحارثية, فلسطين, Silat al-Harithiya, Palestinian
 سيلهيت, بنجلاديش, Sylhet,Bangladesh
 سيلوبي, تركيا, Silopi,Turkey
 سيليبابي, موريتانيا, Sélibaby,Mauritania
 سيليستات, فرنسا,Sélestat,France
 سيليفري, تركيا,Silivri,Turkey
 سيليفكى, تركيا,Silifke,Turkey
 سيلينهوت, الصين, Xilinhot,China
 سيما, جزر القمر, Sima,Comoros
 سيمبوكو، أكيتا, اليابان, Senboku,Japan
 سين شو, تايوان, Hsinchu,Taiwan (Province of China)
 سينان، أوساكا, اليابان, Sennan,Japan
 سينبينغ, الصين, Siping,China
 سينت آن, جيرنزي, Saint Anne,Guernsey
 سينت آن, جيرنزي, St Anne,Guernsey
 سينت-يانس-مولينبيك, بلجيكا,Molenbeek-Saint-Jean - Sint-Jans-Molenbeek,Belgium
 سينشند, منغوليا, Sainshand,Mongolia
 سينشي, الصين, Cenxi,China
 سينوب, تركيا, Sinop,Turkey
 سيهات, السعودية, Sayhat,Saudi Arabia
 سيهون, باكستان, Sehwan,Pakistan
 سيهوي, الصين, Sihui,China
 سيواس, تركيا,Sivas,Turkey
 سيوداد اكونا, المكسيك,Ciudad Acuña,Mexico
 سيوداد خواريز, المكسيك,Ciudad Juárez,Mexico
 سيوداد دي لا باز, غينيا الاستوائية, Ciudad de la Paz,Equatorial Guinea
 سييو، إهيمه, اليابان, Seiyo,Japan
 سیتك, العراق, Sitak,Iraq
 سیوسینان, العراق, Sewsenan,Iraq
 شاباتس, صربيا, Šabac,Serbia
 شابران, أذربيجان, Şabran,Azerbaijan
 شاتو-تييري, فرنسا,Château-Thierry,France
 شاتورا, روسيا, Shatura,Russian Federation
 شاحورا (ألفا), اثيوبيا,Shahura (Alefa),Ethiopia
 شاختاي, روسيا, Shakhty,Russian Federation
 شادرا, تشاد,Chaddra شادرا,Chad
 شارتر, فرنسا,Chartres,France
 شاردا, باكستان, Sharda,Pakistan
 شارلت, الولايات المتحدة, Charlotte,United States of America
 شارلوت أمالي, الولايات المتحدة, Charlotte Amalie,United States of America
 شارلوت تاون, كندا, Charlottetown,Canada
 شارلوروا, بلجيكا,Charleroi,Belgium
 شاري الأوسط, تشاد, Moyen-Chari Region,Chad
 شاري باقرمي, تشاد, Chari-Baguirmi Region,Chad
 شاكوبي, الولايات المتحدة,Shakopee,United States of America
 شامبيكو, اريتريا, Shambiko,Eritrea
 شامل قلعة, روسيا, Shamilkala,Russian Federation
 شانتو, الصين, Shantou,China
 شانجاناشري, الهند,Changanassery,India
 شانجلانج, الهند,Changlang,India
 شاندرا, جزر القمر, Chandra,Comoros
 شاندور بازار, الهند,Chandur Bazar,India
 شانديغار, الهند, Chandigarh,India
 شانغراو, الصين, Shangrao,China
 شانغزو, الصين, Chongzuo City,China
 شانغهاي, الصين, Shanghai,China
 شانوي, الصين, Shanwei,China
 شاه سلطان, باكستان, Chah Sultan,Pakistan
 شاه عالم, ماليزيا, Shah Alam,Malaysia
 شاه فيصل, باكستان, Shah Faisal,Pakistan
 شاه لطيف تون, باكستان, Shah Latif Town,Pakistan
 شاهرود, ايران, Shahrud,Iran 
 شاهين دج, ايران, Shahindezh,Iran 
 شاوزو, الصين, Chaozhou,China
 شاوشان, الصين, Shaoshan,China
 شاوغوان, الصين, Shaoguan,China
 شاوكسينج, الصين, Shaoxing,China
 شاوو, الصين, Shaowu,China
 شاويانغ, الصين, Shaoyang,China
 شاویس, العراق, Shawes,Iraq
 شايان، وايومنغ, الولايات المتحدة, Cheyenne,United States of America
 شبام, اليمن, Shibam,Yemen
 شبام كوكبان, اليمن, Shibam Kaukaban,Yemen
 شباير, ألمانيا,Speyer,Germany
 شبايطة مختار, الجزائر, Chebaita Mokhtar,Algeria
 شبرا الخيمة, مصر, Shubra al Khayma,Egypt
 شبراخيت, مصر, Shubra Khit,Egypt
 شبرغان, أفغانستان, Sheberghan,Afghanistan
 شبشة, السودان, Shabasha,Sudan
 شبعا, سوريا, Shab`a,Syrian Arab Republic
 شبيلي السفلى, الصومال, Lower Shebelle,Somalia
 شبيلي الوسطى, الصومال, Middle Shebelle,Somalia
 شبين القناطر, مصر, Shebin el Qanater,Egypt
 شبين الكوم, مصر, Shibin Al-Kom,Egypt
 شتاده, ألمانيا,Stade,Germany
 شتارنبرغ, ألمانيا,Starnberg,Germany
 شتتين, بولندا,Szczecin,Poland
 شترال, باكستان, Chitral,Pakistan
 شتشايوكينو, روسيا, Schokino,Russian Federation
 شتشربينكا, روسيا, Shcherbinka,Russian Federation
 شتمة, الجزائر, Chetma,Algeria
 شتن, ألمانيا, Schotten,Germany
 شتوان, الجزائر, Chetouane,Algeria
 شتوتغارت, ألمانيا, Stuttgart,Germany
 شتورا, لبنان, Chtoura,Lebanon
 شتوكة, المغرب, Chtouka,Morocco
 شحات, ليبيا, Shahhat,Libya
 شحن, اليمن, Shihan,Yemen
 شحيدي, اثيوبيا, Shahadi,Ethiopia
 شحير, اليمن, Shuhayr,Yemen
 شحيل, سوريا, Shahil,Syrian Arab Republic
 شران, سوريا, Shara,Syrian Arab Republic
 شرس, اليمن, Sharas,Yemen
 شرشال, الجزائر, Cherchell,Algeria
 شرفة, النيجر,Chirfa,Niger
 شرق النيل, السودان, East Nile,Sudan
 شرم, الامارات العربية المتحدة, Sharm,United Arab Emirates
 شرم الشيخ, مصر, Sharm el-Sheikh,Egypt
 شرناق, تركيا, Şırnak,Turkey
 شرنه, أفغانستان, Sharan,Afghanistan
 شروبنهاوزن, ألمانيا,Schrobenhausen,Germany
 شرورة, السعودية, Sharurah,Saudi Arabia
 شريش, أسبانيا, Jerez,Spain
 شريف سليمان, مصر, Sherif Soliman,Egypt
 ششار, الجزائر, Chechar,Algeria
 ششتيان شريف, باكستان, Chishtian Sharif,Pakistan
 شط العرب, العراق, Shatt al Arab,Iraq
 شطحة, سوريا, Shathah,Syrian Arab Republic
 شطوبر, البرتغال, Setúbal,Portugal
 شعبة العامر, الجزائر, Chaabet El Ameur,Algeria
 شعبة اللحم, الجزائر, Chaabat El Leham,Algeria
 شعم, الامارات العربية المتحدة, Sha'am,United Arab Emirates
 شفابمونشن, ألمانيا,Schwabmünchen,Germany
 شفاينفورت, ألمانيا,Schweinfurt,Germany
 شفشاون, المغرب, Chefchaouen,Morocco
 شفيلد, المملكة المتحدة,Sheffield,UK
 شفينتوخوفيتسه, بولندا,Świętochłowice,Poland
 شقراء, السعودية, Shaqra',Saudi Arabia
 شقلاوة, العراق,Shaqrawa,Iraq
 شقوبية, أسبانيا,Segovia,Spain
 شقودرة, ألبانيا, Shkoder,Albania
 شكا, لبنان, Chekka,Lebanon
 شكاربور, باكستان, Shikarpur,Pakistan
 شكر, السودان, Shukri,Sudan
 شكمة كوي, تركيا,Çekmeköy,Turkey
 شكي, أذربيجان, Sheki,Azerbaijan
 شكي, أذربيجان,Şəki,Azerbaijan
 شکارتة, العراق, Shkarta,Iraq
 شلاتين, مصر, Al Shalaten,Egypt
 شلاس, باكستان, Chilas,Pakistan
 شلالات فيكتوريا, زيمبابوي, Victoria Falls,Zimbabwe
 شلالات نياجارا, الولايات المتحدة, Niagara Falls,United States of America
 شلالات نياجارا, كندا, Niagara Falls,Canada
 شلالة العذاورة, الجزائر, Chellalet El Adhaoura,Algeria
 شلب, البرتغال,Silves,Portugal
 شلغوم العيد, الجزائر, Chelghoum Laid,Algeria
 شلمنقة, أسبانيا,Salamanca,Spain
 شلوقة, أسبانيا,Sanlúcar de Barrameda,Spain
 شليم, عمان, Shelim,Oman
 شماخي, أذربيجان,Şamaxı,Azerbaijan
 شمال بحر الغزال, جنوب السودان, Northern Bahr el Ghazal State,South Sudan
 شمال برابنت, هولندا, North Brabant,Netherlands
 شمال دارفور, السودان, North Darfur State,Sudan
 شمال دمدم, الهند,North Dumdum,India
 شمال سيناء, مصر, North Sinai Governorate,Egypt
 شمال غرب الصليبخات, الكويت, Northwest Sulaibikhat,Kuwait
 شمال فان فونج المنطقة الاقتصادية الخاصة, فيتنام, North Van Phong,Viet Nam
 شمال كردفان, السودان, North Kurdufan State,Sudan
 شمال مقدونيا, مقدونيا, North Macedonia,North Macedonia
 شمال-هولندا, هولندا, North Holland,Netherlands
 شمدينلي, تركيا,Şemdinli,Turkey
 شمكير, أذربيجان, Shamkir,Azerbaijan
 شمن, باكستان, Chaman,Pakistan
 شناص, عمان, Shinas,Oman
 شنايتنباخ, ألمانيا,Schnaittenbach,Germany
 شنت ياقب, أسبانيا,Santiago de Compostela,Spain
 شنترين, البرتغال,Santarém,Portugal
 شنجن (الصين), الصين, Shenzhen,China
 شندربور, الهند, Chandrapur,India
 شندي, السودان, Shendi,Sudan
 شنغد, الصين, Chengde,China
 شنف, العراق, Shanaf,Iraq
 شنقيط, موريتانيا, Chinguetti,Mauritania
 شنقيل, تشاد, Chinguil,Chad
 شنگال, العراق, Shangal,Iraq
 شنيانغ, الصين, Shenyang,China
 شهارة, اليمن, Shaharat al Ghis,Yemen
 شهبا, سوريا, Shahba,Syrian Arab Republic
 شهبرولي, الهند,Chhaprauli,India
 شهدادبور, باكستان, Shahdadpur,Pakistan
 شهركرد, ايران, Shahr-e Kord,Iran 
 شوا روبيت, اثيوبيا,Shoa Robit,Ethiopia
 شوان, العراق, Shwan,Iraq
 شوبارا، هیروشیما, اليابان, Shobara,Japan
 شوبيان, الهند,Shopian,India
 شورش, العراق, Shorsh,Iraq
 شورو, بنين,Tchaourou,Benin
 شورين, ألمانيا,Schwerin,Germany
 شوزهو, الصين, Xuzhou,China
 شوست, أوزبكستان, Chust,Uzbekistan
 شولابور, الهند, Solapur,India
 شولم, ألمانيا,Schwelm,Germany
 شوم, موريتانيا, Choum,Mauritania
 شونان، ياماغوتشي, اليابان, Shunan,Japan
 شونغاو, ألمانيا,Schongau,Germany
 شوير، منغوليا, منغوليا, Choir,Mongolia
 شيا يي, تايوان, Chiayi,Taiwan (Province of China)
 شياح, لبنان, Chiyah,Lebanon
 شيامن, الصين, Xiamen City,China
 شيانغتان, الصين, Xiangtan,China
 شيانغيانغ, الصين, Xiangyang,China
 شياننينغ, الصين, Xianning,China
 شياولياي, ليتوانيا, Šiauliai,Lithuania
 شيباتا، نييغاتا, اليابان, Shibata,Japan
 شيبوشي، كاغوشيما, اليابان, Shibushi,Japan
 شيبوكاوا، غونما, اليابان, Shibukawa,Japan
 شيبويا، طوكيو, اليابان, Shibuya,Japan
 شيبيتسو، هوكايدو, اليابان, Shibetsu,Japan
 شيبيونا, أسبانيا,Chipiona,Spain
 شيتاغونغ, بنجلاديش, Chattogram,Bangladesh
 شيتاغونغ, بنجلاديش, Chittagong Division,Bangladesh
 شيتور, الهند, Chittoor,India
 شيتورغاره, الهند,Chittorgarh,India
 شيجوناواتي، أوساكا, اليابان, Shijonawate,Japan
 شيخ, الصومال, Sheikh,Somalia
 شيخ الحديد, سوريا, Shaykh al Hadid,Syrian Arab Republic
 شيخ سعد, العراق, Shaikh Saad,Iraq
 شيخ شاذلى, مصر, Sheikh Shadli,Egypt
 شيخ طويل, العراق, Shaikh Tawil,Iraq
 شيخوبورا, باكستان, Sheikhupura,Pakistan
 شير جان بندر, أفغانستان, Shir Khan Bandar,Afghanistan
 شيراز, ايران, Shiraz,Iran 
 شيراكاوا، فوكوشيما, اليابان, Shirakawa,Japan
 شيراوكا, اليابان, Shiraoka,Japan
 شيرغره, باكستان, Shergarh,Pakistan
 شيره, اثيوبيا, Shire,Ethiopia
 شيروي، تشيبا, اليابان, Shiroi,Japan
 شيرويشي، مياغي, اليابان, Shiroishi,Japan
 شيزو, الصين, Chizhou,China
 شيسو، هيوغو, اليابان, Shiso,Japan
 شيشاوة, المغرب, Shishawa,Morocco
 شيشلي, تركيا,Şişli,Turkey
 شيكاغو, الولايات المتحدة, Chicago,United States of America
 شيكني, فرنسا,Chiconi,France
 شيكوآباد, الهند, Shikohabad,India
 شيكوكوتشو، إهيمه, اليابان, Shikokuchuo,Japan
 شيلونغ, الهند, Shillong,India
 شيلي, شيلي, Chile,Chile
 شيلي, تركيا,Şile,Turkey
 شيما، ميه, اليابان, Shima,Japan
 شيمادا، شيزوكا, اليابان, Shimada,Japan
 شيمانتو، كوتشي, اليابان, Shimanto,Japan
 شيمبارا، ناغاساكي, اليابان, Shimabara,Japan
 شيمكنت, كازاخستان, Shymkent,Kazakhstan
 شيمل, الهند, Shimla,India
 شيموتسوما، إيباراكي, اليابان, Shimotsuma,Japan
 شيموجا, الهند, Shivamogga,India
 شيمودا، شيزوكا, اليابان, Shimoda,Japan
 شيمونوسكي، ياماغوتشي, اليابان, Shimonoseki,Japan
 شين, سوريا, Shin,Syrian Arab Republic
 شيناغاوا، طوكيو, اليابان, Shinagawa,Japan
 شينجو، ياماغاتا, اليابان, Shinjo,Japan
 شيندورجانا غات, الهند,Shendurjana,India
 شينشيرو، آيتشي, اليابان, Shinshiro,Japan
 شينغنينغ, الصين, Xingning,China
 شينغو، واكاياما, اليابان, Shingu,Japan
 شيني, الصين, Xinyi,China
 شينيانغا, تانزانيا,Shinyanga,United Republic of Tanzania
 شينيلي, اثيوبيا,Shinile,Ethiopia
 شينينغ, الصين, Xining,China
 شينيو, الصين, Xinyu,China
 شيواوا, المكسيك, Chihuahua,Mexico
 شيوجيري، ناغانو, اليابان, Shiojiri,Japan
 شيوغاما، مياغي, اليابان, Shiogama,Japan
 شیلادزي, العراق,شیلادزي,Iraq
 شیلادزي, العراق,شێلادزێ,Iraq
 صابر آباد, أذربيجان, Sabirabad,Azerbaijan
 صافر, اليمن, Safer,Yemen
 صافور, مصر, Safur,Egypt
 صافيتا, سوريا, Safita,Syrian Arab Republic
 صالح باي, الجزائر, Salah Bey,Algeria
 صالح بوالشعور, الجزائر, Salah Bouchaour,Algeria
 صالح جاهين, مصر, Saleh Gahin,Egypt
 صامطة, السعودية, Samitah,Saudi Arabia
 صباح الأحمد, الكويت, Sabah Al-Ahmad,Kuwait
 صباح السالم, الكويت, Sabah Al Salem,Kuwait
 صبر, اليمن, Sabir,Yemen
 صبراتة, ليبيا, Sabratha,Libya
 صبرة, الجزائر, Sabra,Algeria
 صبيا, السعودية, Sabya,Saudi Arabia
 صحار, عمان, Sohar,Oman
 صحم, عمان, Saham,Oman
 صحنايا, سوريا, Sahnaya,Syrian Arab Republic
 صدد, سوريا, Sadad,Syrian Arab Republic
 صدر, باكستان, Saddar,Pakistan
 صدوق, الجزائر, Seddouk,Algeria
 صربا, لبنان, Sarba,Lebanon
 صربيا, صربيا, Serbia,Serbia
 صرمان, ليبيا, Surman,Libya
 صرين الشمالية, سوريا, Sirrin ash Shamaliyah,Syrian Arab Republic
 صعازغا, اريتريا, Tsazega,Eritrea
 صعبر, السعودية, Saabaar,Saudi Arabia
 صعدا كرستيان, اريتريا, Tzada Christian,Eritrea
 صعدة, اليمن, Sa`dah,Yemen
 صفاقس, تونس, Sfax,Tunisia
 صفرو, المغرب, Sefrou,Morocco
 صفوى, السعودية, Safwa,Saudi Arabia
 صقاريا, تركيا, Sakarya,Turkey
 صقلية, ايطاليا, Sicily,Italy
 صكتو, نيجيريا, Sokoto,Nigeria
 صلاح الدين, العراق, Saladin,Iraq
 صلاح الدين, ليبيا, Salah Aldeen,Libya
 صلالة, عمان, Salalah,Oman
 صلخد, سوريا, Salkhad,Syrian Arab Republic
 صناء, اليمن, Sana',Yemen
 صنعاء, اليمن, Sana'a,Yemen
 صنعفي, اريتريا, Senafe,Eritrea
 صنكرافة, موريتانيا, Sangrave,Mauritania
 صوابي, باكستان, Swabi,Pakistan
 صور, عمان, Sur,Oman
 صور, لبنان, Tyre,Lebanon
 صور, تركيا,Savur,Turkey
 صور الغزلان, الجزائر, Sour El-Ghozlane,Algeria
 صوران, سوريا, Suran,Syrian Arab Republic
 صورونا, اريتريا, Tsorona,Eritrea
 صوريف, فلسطين, Surif, Palestinian
 صوفيا, بلغاريا, Sofia,Bulgaria
 صوير, السعودية, Suwayr,Saudi Arabia
 صياد, ليبيا, Sayyad,Libya
 صيدا, سوريا, Sayda,Syrian Arab Republic
 صيدا, لبنان, Sidon,Lebanon
 صيف, اليمن, Sif,Yemen
 ضاحية البستان, الأردن,ضاحية البستان,Jordan
 ضاحية قدسيا, سوريا, Qudsayya Suburb,Syrian Arab Republic
 ضاية بن ضحوة, الجزائر, Dhaia Ben Dhahoua,Algeria
 ضبا, السعودية, Duba,Saudi Arabia
 ضدنا, الامارات العربية المتحدة, Dhadnah,United Arab Emirates
 ضرما, السعودية, Duruma,Saudi Arabia
 ضليع رشيد, السعودية, Dulay` Rashid,Saudi Arabia
 ضمد, السعودية, Damad,Saudi Arabia
 ضمير, سوريا, Dumayr,Syrian Arab Republic
 ضنك, عمان, Dhank,Oman
 ضهور الشوير, لبنان, Dhour El Choueir,Lebanon
 ضوران, اليمن, Dawran,Yemen
 ضوران الجديدة, اليمن, Dawran AlJadeedah,Yemen
 طابا, مصر, Taba,Egypt
 طابول, تشاد,Tapol,Chad
 طاجيكستان, طاجكستان, Tajikistan,Tajikistan
 طاسلوجة, العراق, Tasluja,Iraq
 طاطا, المغرب, Tata,Morocco
 طاقة, عمان, Taqah,Oman
 طانطان, المغرب, Tan-Tan,Morocco
 طاوة, النيجر, Tahoua,Niger
 طبربة, تونس, Tebourba,Tunisia
 طبرجل, السعودية, Tubarjal,Saudi Arabia
 طبرق, ليبيا, Tubruq,Libya
 طبرقة, تونس, Tabarka,Tunisia
 طبس, ايران, Tabas,Iran 
 طبيرة, البرتغال,Tavira,Portugal
 طرابزون, تركيا, Trabzon,Turkey
 طرابزون, تركيا,Derepazarı,Turkey
 طرابلس, ليبيا, Tripoli,Libya
 طرابلس, لبنان, Tripoli,Lebanon
 طرابلس, ليبيا, Tripoli,Libya
 طراغونة, أسبانيا,Tarragona,Spain
 طرطوس, سوريا, Tartus,Syrian Arab Republic
 طرفاية, المغرب, Tarfaya,Morocco
 طرويل, أسبانيا, Teruel,Spain
 طريف, السعودية, Turayf,Saudi Arabia
 طريف, أسبانيا,Tarifa,Spain
 طشقند, أوزبكستان, Tashkent,Uzbekistan
 طفس, سوريا, Tafas,Syrian Arab Republic
 طقطق, العراق, Taqtaq,Iraq
 طلخا, مصر, Talkha,Egypt
 طليطلة, أسبانيا, Toledo,Spain
 طما, مصر, Tima,Egypt
 طناح, مصر,طناح,Egypt
 طنجة, المغرب, Tangier,Morocco
 طهران, ايران, Tehran,Iran 
 طهطا, مصر, Tahta,Egypt
 طوباس, فلسطين, Tubas, Palestinian
 طوبى, السنغال,Touba,Senegal
 طوتوكودي, الهند, Thoothukudi,India
 طوخ, مصر, Tukh,Egypt
 طورخم, باكستان, Torkham,Pakistan
 طوز خورماتو, العراق, Tuz Khormato,Iraq
 طوس, ايران, Toos,Iran 
 طوكر, السودان, Tokar,Sudan
 طوكيو, اليابان, Tokyo,Japan
 طولقة, الجزائر, Tolga,Algeria
 طولكرم, فلسطين, Tulkarm, Palestinian
 طيبة الإمام, سوريا, Tayyibat al Imam,Syrian Arab Republic
 طيعوا, اريتريا, Tiyo,Eritrea
 طينطان, موريتانيا, Tintane,Mauritania
 ظبة, اليمن, Dubah,Yemen
 ظلم, السعودية, Zalim,Saudi Arabia
 ظلمة حبيش, اليمن, Zalmat Hubaysh,Yemen
 ظليمة حبور, اليمن, Habur,Yemen
 ظهران الجنوب, السعودية, Zahran,Saudi Arabia
 عادل اباد, الهند, Adilabad,India
 عارف والا, باكستان, Arifwala,Pakistan
 عالي, البحرين, A'ali,Bahrain
 عاليه, لبنان, Aley,Lebanon
 عامودا, سوريا, Amudah,Syrian Arab Republic
 عبادان, ايران, Abadan,Iran 
 عباس بور, باكستان, Abbaspur,Pakistan
 عبد الحفيظ ابو قديس, مصر, Abd Al Hafiz Abou Qedies,Egypt
 عبد الرافي, اثيوبيا, Midre Genet,Ethiopia
 عبد العظيم حسن, مصر, Abd Al Aazim Hassn,Egypt
 عبري, السودان, Abri,Sudan
 عبري, عمان, Ibri,Oman
 عبس, اليمن, `Abs,Yemen
 عبسان الكبيرة, فلسطين, Abasan al-Kabira, Palestinian
 عبومي كالاوي, بنين,Abomey-Calavi,Benin
 عتق, اليمن, `Ataq,Yemen
 عتيل, فلسطين, Atil, Palestinian
 عثمان آباد, الهند,Osmanabad,India
 عثمان احمد ابراهيم, مصر, Othman Ahmed Ibrahim,Egypt
 عثمانية, تركيا,Osmaniye,Turkey
 عجلون, الأردن, Ajloun,Jordan
 عجمان, الامارات العربية المتحدة, Ajman,United Arab Emirates
 عجّه, فلسطين, Ajjah, Palestinian
 عدرا, سوريا, `Adra,Syrian Arab Republic
 عدل, الصومال, Awdal,Somalia
 عدل بكرو, موريتانيا, Adel Bagrou,Mauritania
 عدلون, لبنان, Aadloun,Lebanon
 عدن, اليمن, `Adan,Yemen
 عدى اركاي, اثيوبيا, Adi Arkay,Ethiopia
 عدي تكليزان, اريتريا, Adi Tekelezan,Eritrea
 عدي خوالا, اريتريا, Adi Quala,Eritrea
 عدي رمض, اثيوبيا, Adi Ramets,Ethiopia
 عدي قيح, اريتريا, Adi Keyh,Eritrea
 عذرة, أسبانيا,Adra,Spain
 عرابة, فلسطين, Arabah, Palestinian
 عراد, البحرين, Arad,Bahrain
 عراق الأمير, الأردن, Iraq Al-Amir,Jordan
 عربت, العراق, Arabit,Iraq
 عربسيو, الصومال, Arabsiyo,Somalia
 عربين, سوريا, `Irbin,Syrian Arab Republic
 عرتا, جيبوتي, Arta,Djibouti
 عرجاء, السعودية, Arjaa,Saudi Arabia
 عرسال ساحة, لبنان, Arsal,Lebanon
 عرطوز, سوريا, Artuz,Syrian Arab Republic
 عرعر, السعودية, `Ar`ar,Saudi Arabia
 عرفات, موريتانيا, `Arafat,Mauritania
 عرقة, السعودية, `Irqah,Saudi Arabia
 عريب, الجزائر, Arib,Algeria
 عريشة, سوريا, `Arishah,Syrian Arab Republic
 عز, عمان, IZZ,Oman
 عز الدين سليم, العراق, Iz-Eldeen Salim,Iraq
 عزابة, الجزائر, Azzaba,Algeria
 عزازة, السودان, Al `Azaza,Sudan
 عزازقة, الجزائر, Azazga,Algeria
 عزان, اليمن, `Azzan,Yemen
 عزبة ابو وحش, مصر,Ezbet Abu Wahsh,Egypt
 عزلة الدير, اليمن, `Ozlat Ad Dayr,Yemen
